plausibility	novel_word
4	lingerable
3.5	happenable
4.2	telephonable
3.82	retaliatable
4.5	celebratable
4.4	professable
4	aspirable
3.45	ensuable
4.6	punctuatable
3.9	unveilable
4.5	forageable
4.2	corroboratable
3.7	struttable
4.4	underminable
4.4	kidnappable
4	impoverishable
4.3	terrifiable
3.91	alliable
4.7	cursable
4	infiltrable
4.18	counteractable
3.9	yearnable
4.4	engrossable
4.3	outlinable
3.5	peakable
3.36	dismayable
3.8	remainable
4	industrialisable
3.73	accentable
3.82	embroilable
3.8	shiverable
4.8	overdoable
4.4	thwartable
3.7	undulatable
4.09	courtable
4.2	videoconferenceable
4.6	harassable
4.7	slowable
4.1	bewilderable
4.1	dreadable
3.4	trumpetable
4.6	uprootable
4.4	defaceable
4.6	abstainable
4.4	involvable
3.8	dartable
4.5	herdable
3.6	rainable
4	undervaluable
3.9	apologizable
4	nicknamable
3.4	transliteratable
4.5	legitimisable
4.6	churnable
4.3	vandalisable
4.2	meanderable
4.2	transcendable
4.7	soakable
4	legalizable
3.6	occurrable
3.8	shellable
4	intendable
4.3	bandable
3.9	whitewashable
2.7	dawnable
3.5	predatable
4.5	kick-startable
3.9	scentable
4.2	disapprovable
4.2	crownable
3.7	regimentable
4.9	sketchable
4.9	scorchable
4.6	congratulatable
3.4	underpinnable
4.6	pillageable
4.7	downplayable
3.8	mutterable
4.4	lurkable
4.3	nurturable
4.3	deprivable
4.1	relentable
3.4	termable
3.9	hailable
4.6	equalisable
4.1	insultable
4.2	phonable
4.5	slingable
4.1	overgrowable
4.6	rakable
3.3	epitomisable
4.5	derailable
4.4	stingable
4.1	shimmerable
3.7	disenfranchisable
4	quellable
4.1	prevailable
4.2	revolutionisable
4.4	rappable
4.1	blushable
4.1	codenamer
3.9	repainter
4.6	surpasser
4.2	superseder
3.4	lessener
3.2	flickerer
4.1	reaffirmer
4.2	relinquisher
3.8	adjourner
3.2	aggriever
4.4	disembarker
4.3	instiller
4.5	demoter
4.1	relauncher
4.4	retorter
4.4	disagreer
4.1	protruder
3.7	encompasser
4.1	disguster
4.4	eliciter
4.2	overturner
3.6	outstripper
3.7	overgrower
3.4	esteemer
4.6	outdoer
3.9	relenter
3.9	hamperer
4.4	entruster
4.1	opiner
3.4	bewarer
3.8	disenfranchiser
2.9	pertainer
4.4	quasher
4.6	nicknamer
2.7	abounder
4.5	reassigner
3	coincider
3.4	spiraler
3.8	individualiser
4.6	rescinder
4.4	gratifier
3.8	saddener
3.3	befaller
3.3	pre-exister
4	reassesser
3.8	bristler
4.1	impairer
3.6	outliver
4.6	displeaser
4.3	handcuffer
3.7	succumber
4.6	resembler
2.9	occurrer
3.7	hospitalizer
4.7	disappointer
4.3	exuder
3.8	familiariser
3.8	deafener
4.1	downplayer
4.1	bewilderer
2.9	reappearer
4.3	demoraliser
3.4	exempter
4	astounder
4.4	dismounter
4.1	unearther
4.5	endangerer
3.7	bracketer
4	recapturer
3.6	overhanger
3.7	overcrowder
4.1	presupposer
3.7	interweaver
3.9	muter
4.2	impoverisher
4.6	submerger
3.9	preoccupier
3.5	appaller
4.5	rescheduler
4.5	pressurer
4.6	overdoer
4.3	concurrer
4.5	petrifier
4.2	leverager
4.5	disparager
4.1	capsizer
4.1	reclassifier
3.5	backfirer
3.2	accustomer
3.8	witherer
3.5	meterer
4.4	neuterer
4.1	embroiler
3.2	elapser
3.8	championer
3.7	veerer
4.2	revamper
4.3	enshriner
4.4	horrifier
2.4	flawer
3.4	ballparkist
3.3	mayhemist
3.2	rasterist
3.5	exertionist
3.3	creaturist
2.2	pheasantist
3	corridorist
2.8	grasshopperist
3	cabbagist
2.7	wagonist
3.1	retardationist
4.1	notationist
3	granitist
2.9	regentist
3.1	stewist
2.5	vanillist
3.5	scholarist
3.8	Britonist
2.9	sleepist
2.5	facetist
2.4	porpoisist
4.3	inscriptionist
2.8	plaguist
2.9	cohortist
3.5	inflectionist
2.5	tendonist
2.9	windscreenist
3.7	hologramist
3.4	bingist
3.5	draftist
2.7	cardinalist
2.1	undersidist
2.6	granarist
2.7	umpirist
2.5	outlookist
2.5	operatorist
2.8	windowist
4.5	excavationist
2.5	goatist
3.5	Iliadist
2.6	overloadist
2.2	manhoodist
3	razorist
